,Type,Name,Depth,Zn,Cd,Pb,Zn abs error,Cd abs error,Pb abs error
4,Floodplain Surface,T7C1,1,9599,47.5,462,0,2.1,4.1
4,Floodplain Trench,T7C1,3.5,5329,30.4,293.5,13,1.8,2.8
4,Floodplain Trench,T7C1,7.5,8623,43.2,282.7,17,1.9,2.7
4,Floodplain Trench,T7C1,12.5,6280,32.5,273.4,14,1.8,2.6
4,Floodplain Trench,T7C1,16.5,5612,27.4,285.2,14,1.7,2.9
4,Floodplain Trench,T9C4,0.75,7116,33.7,290.1,16,1.9,2.8
4,Floodplain Trench,T9C4,3.25,6736,34.4,311.7,15,1.9,2.9
4,Floodplain Trench,T9C4,7.5,5770,26.1,348,15,1.7,3.2
4,Floodplain Trench,T9C4,11,6090,24.2,428.6,16,1.7,3.8
4,Floodplain Trench,T10C5,3,4384,29.8,257.8,12,1.8,2.5
4,Floodplain Trench,T10C5,8,6559,41.6,495.6,15,1.9,3.6
4,Floodplain Trench,T10C5,12,7056,47.2,691.9,15,2,4.1
4,Floodplain Trench,T10C5,16,10730,69.7,1575,20,2.3,6
4,Floodplain Surface,T13C8,1,6211,32.2,296.8,15,1.9,2.8
4,Floodplain Trench,T13C8,4.5,7374,40.8,355.2,16,1.9,3.1
4,Floodplain Trench,T13C8,9.5,6421,49.5,369.9,14,2,2.8
4,Floodplain Trench,T13C8,13.5,5363,33.4,328.9,12,1.8,2.6
4,Floodplain Trench,T14C8,0.75,1001,0,105.5,5,-3.4,1.5
4,Floodplain Trench,T14C8,3.5,526,0,57,3.6,0,1.2
4,Floodplain Trench,T14C8,7.75,346.3,0,29.8,2.9,-1.8,0.9
4,Floodplain Trench,T14C8,12.5,187.9,0,21,2.2,0,0.9
4,Floodplain Surface,T14C10,0.5,6405,45,536.6,14,2.1,3.6
4,Floodplain Trench,T14C10,1.5,5149,36.6,386,12,1.8,2.9
4,Floodplain Trench,T14C10,3.75,5736,41.2,477.4,13,2,3.3
4,Floodplain Trench,T14C10,6.5,5576,38.4,320.8,13,1.9,2.8
4,Floodplain Trench,T14C10,10,4675,21.3,282.6,12,1.6,2.6
5,Channel Core,Neo2ATC,16,7.137,0.0952,0.3192,2.4,2.4,2.7
5,Channel Core,Neo2ATC,30,9.798,0.0238,0.384,1.9,1.9,3.7
5,Channel Core,Neo2TC,2,5.796,0.0203,0.2102,1.6,1.6,2.3
5,Channel Core,Neo2TC,6,6.984,0.0336,0.2479,1.8,1.8,2.7
5,Channel Core,Neo2TC,8,8.369,0.0343,0.2978,1.8,1.8,2.6
5,Channel Core,Neo2TC,10,7.955,0.0395,0.2766,1.9,1.9,2.9
5,Channel Core,Neo2TC,13,8.713,0.0311,0.3034,2,2,2.8
5,Channel Core,Neo2TC,16,9.094,0.0358,0.3389,2,2,3
5,Channel Core,Neo2TC,19,9.367,0.0258,0.3923,2,2,3.3
5,Channel Core,Neo2TC,22,7.82,0.0251,0.3218,1.9,1.9,3.6
5,Channel Core,Neo2TC,4,7.301,0.0198,0.2626,1.9,1.9,3.2
5,Channel Core,Neo2TC,25,8.919,0.028,0.3088,1.9,1.9,3.3
5,Channel Core,Neo2TC,30,11.27,0.0335,0.4456,2.1,2.1,4.1
5,Channel Core,Neo2TC,33,9.89,0.0479,0.347,2.2,2.2,3.2
5,Channel Core,Neo2TC,36,6.665,0.1218,0.292,2.6,2.6,2.5
5,Channel Core,Neo2TC,39,5.9,0.0329,0.311,1.9,1.9,2.6
5,Channel Core,Neo2TC,42,7.463,0.0333,0.3745,1.8,1.8,2.9
5,Channel Core,Neo2b,2,6.414,0.03,0.2112,2,2,2.3
5,Channel Core,Neo2b,4,6.63,0.0317,0.2192,2.2,2.2,2.4
5,Channel Core,Neo2b,6,6.081,0.0286,0.2202,2,2,2.4
5,Channel Core,Neo2b,8,5.916,0.0331,0.2207,2,2,2.3
5,Channel Core,Neo2b,10,6.526,0.0238,0.2218,2,2,2.4
5,Channel Core,Neo2b,13,7.876,0.0272,0.2413,2.1,2.1,2.6
5,Channel Core,Neo2b,16,8.194,0.0296,0.2788,2.1,2.1,2.9
5,Channel Core,Neo2b,19,7.591,0.0361,0.2625,2.2,2.2,2.7
5,Channel Core,Neo2b,22,7.642,0.0437,0.2573,2.2,2.2,2.8
5,Channel Core,Neo2b,26,8.207,0.0259,0.3284,2,2,3.2
5,Channel Core,Neo2b,30,7.603,0.0315,0.3884,2.2,2.2,3.5
5,Channel Core,Neo2b,34,8.425,0.0297,0.3643,2.1,2.1,3.4
5,Channel Core,Neo2b,38,11.3,0.0409,0.4105,2.2,2.2,3.8
5,Channel Core,Neo2b,42,7.988,0.1132,0.3437,2.8,2.8,2.8
5,Channel Core,Neo2b,46,6.428,0.055,0.3068,2.2,2.2,2.6
5,Channel Core,Neo4,2,0.106,0,0.0178,0,0,0.9
5,Channel Core,Neo4,4,0.0902,0,0.0201,0,0,0.9
5,Channel Core,Neo4,6,0.0849,0,0.0183,0,0,0.9
5,Channel Core,Neo4,8,0.0931,0,0.0207,0,0,0.9
5,Channel Core,Neo4,10,0.1001,0,0.0198,0,0,0.9
5,Channel Core,Neo4,13,0.1271,0,0.0187,0,0,0.9
5,Channel Core,Neo4,16,0.1199,0,0.0188,0,0,0.9
5,Channel Core,Neo4,19,0.1219,0,0.0213,0,0,0.9
5,Channel Core,Neo4,21,0.1356,0,0.0205,0,0,0.9
5,Channel Core,Neo4,24,0.1901,0,0.018,0,0,0.8
5,Channel Core,Neo4,28,0.199,0,0.019,0,0,0.9
5,Channel Core,Neo4,32,0.1332,0,0.023,0,0,0.9
5,Channel Core,Neo4,36,0.125,0,0.0239,0,0,0.9
5,Channel Core,Neo4,40,0.1408,0,0.0297,0,0,1
5,Channel Core,Neo4,45,0.1542,0,0.0272,0,0,1
5,Channel Core,Neo4,50,0.127,0,0.0246,0,0,1
5,Channel Core,Neo5,2,0.2105,0,0.0253,0,0,1
5,Channel Core,Neo5,4,0.2204,0,0.0259,0,0,1
5,Channel Core,Neo5,6,0.1785,0,0.0246,0,0,1
5,Channel Core,Neo5,8,0.1637,0,0.0226,0,0,1
5,Channel Core,Neo5,10,0.2071,0,0.0268,0,0,1
5,Channel Core,Neo5,13,0.2629,0,0.0247,0,0,1
5,Channel Core,Neo5,16,0.1765,0,0.0253,0,0,1
5,Channel Core,Neo5,19,0.2335,0,0.0257,0,0,1
5,Channel Core,Neo5,23,0.2338,0,0.0255,0,0,1
5,Channel Core,Neo5,27,0.2535,0,0.0273,0,0,1
5,Channel Core,Neo5,31,0.1517,0,0.0227,0,0,1
5,Channel Core,Neo5,35,0.1361,0,0.0211,0,0,0.9
5,Channel Core,Neo5,39,0.1798,0,0.0231,0,0,1
5,Channel Core,Neo5,43,0.2128,0,0.0238,0,0,1
5,Channel Core,Neo6,2,0.1774,0,0.0212,0,0,0.9
5,Channel Core,Neo6,4,0.1897,0,0.0222,0,0,1
5,Channel Core,Neo6,6,0.2257,0,0.0248,0,0,1
5,Channel Core,Neo6,8,0.2318,0,0.0257,0,0,1
5,Channel Core,Neo6,10,0.1912,0,0.0245,0,0,1
5,Channel Core,Neo6,13,0.123,0,0.0224,0,0,1
5,Channel Core,Neo6,16,0.0991,0,0.0218,0,0,1
5,Channel Core,Neo6,19,0.1226,0,0.0227,0,0,1
5,Channel Core,Neo6,22,0.149,0,0.0244,0,0,1
5,Channel Core,Neo6,26,0.176,0,0.0297,0,0,1
5,Channel Core,Neo6,30,0.1447,0,0.0228,0,0,1
5,Channel Core,Neo6,34,0.1412,0,0.0246,0,0,1
5,Channel Core,Neo6,38,0.1897,0,0.0264,0,0,1
5,Channel Core,Neo6,42,0.2203,0,0.0271,0,0,1
5,Channel Core,Neo7,2,0.1214,0,0.0224,0,0,1
5,Channel Core,Neo7,4,0.1231,0,0.0207,0,0,0.9
5,Channel Core,Neo7,6,0.1748,0,0.0226,0,0,0.9
5,Channel Core,Neo7,8,0.2279,0,0.0244,0,0,1
5,Channel Core,Neo7,10,0.1744,0,0.0224,0,0,1
5,Channel Core,Neo7,13,0.2264,0,0.022,0,0,1
5,Channel Core,Neo7,16,0.1737,0,0.0219,0,0,1
5,Channel Core,Neo7,19,0.1781,0,0.0203,0,0,0.9
5,Channel Core,Neo7,22,0.1352,0,0.0208,0,0,0.9
5,Channel Core,Neo7,26,0.152,0,0.0186,0,0,0.9
5,Channel Core,Neo7,30,0.1343,0,0.0193,0,0,0.9
5,Channel Core,Neo7,34,0.1397,0,0.0175,0,0,0.9
5,Channel Core,Neo7,38,0.1062,0,0.0184,0,0,0.9
5,Channel Core,Neo7,42,0.1255,0,0.0203,0,0,0.9
5,Channel Core,Neo7,46,0.0998,0,0.021,0,0,0.9
3,Wetland Core,Wetland Core,1,95450,270.6,268.7,100,4.8,1.6
3,Wetland Core,Wetland Core,3.5,213400,253.1,1257,200,6.6,7
3,Wetland Core,Wetland Core,7.5,85130,350.2,12080,90,5.9,30
3,Wetland Core,Wetland Core,12.5,68850,313.5,9933,80,5.2,23
